,title,cited_by,year
245, Semantic Web Based ST Algorithm Framework for Diagnosing and Monitoring of Breast Cancer on an Intelligent Personal Agent (IPA),0,0
246, Current status of lectin-based cancer diagnosis and therapy,30,2017
247,Using Hidden Markov Model to Predict Recurrence of Breast Cancer Based on Sequential Patterns in Gene Expression Profiles,0,2020
248, Review of non-clinical risk models to aid prevention of breast cancer,7,2018
249,Enhancing radiotherapy effect in breast cancer with nanoparticles: A review,4,2019
250,Mathematical modeling and computational prediction of cancer drug resistance,34,2018
251,Artificial intelligence in breast imaging,32,2019
252,A new approach for microcalcification enhancement in digital breast tomosynthesis reconstruction,2,2019
253,Automated characterization and counting of Ki-67 protein for breast cancer prognosis: A quantitative immunohistochemistry approach,15,2017
254,Combining multiscale experimental and computational systems pharmacological approaches to overcome resistance to HER2-targeted therapy in breast cancer,4,2019
255,A model for transfer of P-glycoproteins in MCF-7 breast cancer cell line with multiple transfer rules,1,2017
256,Firefly Optimization based Segmentation Technique to analyze Medical Images of Breast Cancer,0,2020
257,Ultrasonically controlled estrone-modified liposomes for estrogen-positive breast cancer therapy,18,2018
258, trends and projections in Breast cancer Mortality among four Asian countries (1990–2017): Evidence from five Stochastic Mortality Models,0,2020
259, Involvement of machine learning for breast cancer image classification: a survey,35,2017
260,Chitosan Hydrogels for Synergistic Delivery of Chemotherapeutics to Triple Negative Breast Cancer Cells and Spheroids,0,2020
261,A distributed key authentication and OKM-ANFIS scheme based breast cancer prediction system in the IoT environment,0,2020
262, Defining cancer subpopulations by adaptive strategies rather than molecular properties provides novel insights into intratumoral evolution,75,2017
263,Quantitative assessment of cold atmospheric plasma anti‐cancer efficacy in triple‐negative breast cancers,15,2018
264, Systems modelling of the EGFR-PYK2-c-Met interaction network predicts and prioritizes synergistic drug combinations for triple-negative breast cancer,8,2018
265," Bio-fabrication of silver nanoparticles by phycocyanin, characterization, in vitro anticancer activity against breast cancer cell line and in vivo cytotxicity",64,2017
266,Blackboard to bedside: a mathematical modeling bottom-up approach toward personalized cancer treatments,10,2019
267, Supplementary data for the biological age linked to oxidative stress modifies breast cancer aggressiveness,0,2018
268,Relative and Absolute Expression Analysis of MicroRNAs Associated with Luminal A Breast Cancer–A Comparison,4,2019
269,A review of cell-based computational modeling in cancer biology,54,2019
270,Enhanced penetration and cytotoxicity of metformin and collagenase conjugated gold nanoparticles in breast cancer spheroids,5,2019
271, In Silico Assessment Of The Impedance Parameters Of Tissue Using A 3D Finite Element Model To Detect Breast Cancer,0,2020
272,Two-dimensional finite element model of breast cancer cell motion through a microfluidic channel,0,2019
273,Improved cost-sensitive support vector machine classifier for breast cancer diagnosis,8,2018
274,Mutational signatures in breast cancer: the problem at the DNA level,74,2017
275,Optimal Control of Breast Cancer: Investigating Estrogen as a Risk Factor,0,2017
276,Computational growth model of breast microcalcification clusters in simulated mammographic environments,9,2016
277,Estimating Muscle Forces for Breast Cancer Survivors During Functional Tasks,0,2020
278,Multiscale treatment response model for triple-negative breast cancer linking drug pharmacokinetics to tumor cell population dynamics,0,2016
279, The clinical application of Raman spectroscopy for breast cancer detection,21,2017
280,Machine Learning Based Classifier for Breast Cancer Prediction,0,2020
281, Simulation model for breast cancer management in India,0,5
282, Performance of Mid‐Treatment Breast Ultrasound and Axillary Ultrasound in Predicting Response to Neoadjuvant Chemotherapy by Breast Cancer Subtype,9,2017
283,Prediction of postoperative disease-free survival and brain metastasis for HER2-positive breast cancer patients treated with neoadjuvant chemotherapy plus …,4,2018
284,An improved hybrid active contour model for nuclear segmentation on breast cancer histopathology,10,2016
285,Natural History of Breast Cancer: Reanalyze Nodal Stage and Oestrogen Receptor Status Affecting the Progression of Breast Cancer from SEER Database,0,202
286,2D Microwave Imaging of the Breast Tissue: Forward Problem Technique,0,2019
287,Computational studies on breast cancer analysis,0,2020
288, Artificial intelligence methods for the diagnosis of breast cancer by image processing: a review,22,2018
289,Embedded drug delivery controller for cancer chemotherapy under treatment constrains,5,2017
290,Penetrance of ATM Gene Mutations in Breast Cancer: A Meta‐Analysis of Different Measures of Risk,49,2016
291,Assessment of breast cancer risk factors among women of reproductive age group in Oshogbo using Gail model,0,2019
292,A proposal for pathologic processing of breast implant capsules in patients with suspected breast implant anaplastic large cell lymphoma,3,2020
293, Modulation of the leptin receptors expression in breast cancer cell lines exposed to leptin and tamoxifen,2,2019
294, Survival and time to initiation of adjuvant chemotherapy among breast cancer patients: a systematic review and meta-analysis,23,2018
295, Mathematical analysis of the Cancitis model and the role of inflammation in blood cancer progression,4,2019
296,Atomic force microscopy indentation and inverse analysis for non-linear viscoelastic identification of breast cancer cells,17,2016
297,Mathematical models of breast and ovarian cancers,11,2016
298,Prediction Model for Breast Cancer Detection Using Machine Learning Algorithms,0,2020
299, Discrimination of breast cancer with microcalcifications on mammography by deep learning,149,2016
300, … Screening Schedules under Varying Resource Constraints for Planning Breast Cancer Control Programs in Low-and Middle-Income Countries: A Mathematical …,0,2020
301, BOADICEA: a comprehensive breast cancer risk prediction model incorporating genetic and nongenetic risk factors,90,2019
302,Abstract PD3-15: Novel cFlip inhibitor suppresses chemotherapy-induced breast cancer stem cell activity through blocking HIF1-α,0,2018
303,Bayesian inference identifies combination therapeutic targets in breast cancer,7,2019
304,Deep learning modeling using normal mammograms for predicting breast cancer risk,10,2020
305,"Axillary lymph node dissection in node-positive breast cancer: are ten nodes adequate and when is enough, enough?",1,2020
306,Distinct Glycosylations Lead to Breast Cancer Cell Adhesion to E-selectin,0,2016
307,Cost-effectiveness models in breast cancer screening in the general population: a systematic review,12,2017
308,Moment stability for nonlinear stochastic growth kinetics of breast cancer stem cells with time-delays,8,2016
309, Integrating evolutionary dynamics into treatment of metastatic castrate-resistant prostate cancer,269,2017
310,Polarization‐dependent second‐harmonic generation for collagen‐based differentiation of breast cancer samples,0,2020
311, Mathematical modeling for Phase I cancer trials: A study of metronomic vinorelbine for advanced non-small cell lung cancer (NSCLC) and mesothelioma …,16,2017
312," Effectiveness of Gail Model in Assessing the Risk of Developing Breast Cancer in Baghdad, Iraq",0,2020
